Belt Level,Belt ID,Order,Exercise Name,Direction,Movement Type,Techniques (pipe-separated),Repetitions,Notes
3rd Keup,3rd_keup,3,"Hook Kick and Side kick from Front leg, Rear leg turning kick, landing in L stance knife hand guarding block",,FWD,Hook Kick | Side kick |  turning kick|  L stance |knife hand guarding block,5,
3rd Keup,3rd_keup,4,"Sitting Stance, W shaped block",,BWD,Sitting Stance| W shaped block,5,
3rd Keup,3rd_keup,5,"L Stance, Knife Hand Guarding Block, Front leg front kick, land in walking stance, High Flat Fingertip Thrust",,FWD,L Stance| Knife Hand Guarding Block|  front kick|  walking stance| High Flat Fingertip Thrust,5,Moves 22-24 and 25-27 of Toi Gye
3rd Keup,3rd_keup,6,"Walking Stance, X-Fist Pressing Block, Twin Vertical Punch",,BWD,Walking Stance| X-Fist Pressing Block| Twin Vertical Punch,5,
3rd Keup,3rd_keup,7,"Turning Kick, Reverse Turning Kick (180 deg), landing in L Stance Forearm Guarding Block",,FWD,Turning Kick| Reverse Turning Kick|  L Stance |Forearm Guarding Block,5,
3rd Keup,3rd_keup,8,"L Stance, low double forearm block, slip front foot into walking stance, high grab",,BWD,L Stance| low double forearm block|  walking stance| high grab,5,Moves 19-20 of Toi Gye
3rd Keup,3rd_keup,9,"Turning kick, downward kick (same leg), landing in L Stance, Forearm Guarding Block",,FWD,Turning kick| downward kick |  L Stance| Forearm Guarding Block,5,
3rd Keup,3rd_keup,10,First 2 moves of Toi Gye,,BWD,L Stance | Iner Forearm Block | Walking Stance | Upset Fingertip Thrust,5,Moves 1-2 and 4-5 of Toi Gye
2nd Keup,2nd_keup,1,"Double side kick (same leg), landing in L Stance Knife Hand Guarding Block",,FWD,Double side kick |  L Stance |Knife Hand Guarding Block,5,
2nd Keup,2nd_keup,2,"Walking Stance, High Twin Vertical Punch",,BWD,Walking Stance| High Twin Vertical Punch,5,
2nd Keup,2nd_keup,3,"Double Turning Kick (same leg), landing in L Stance, Forearm Guarding Block",,FWD,Double Turning Kick |  L Stance| Forearm Guarding Block,5,
2nd Keup,2nd_keup,4,"Walking Stance, Pressing Block (normal speed)",,BWD,Walking Stance| Pressing Block ,5,
2nd Keup,2nd_keup,5,"Walking Stance, Middle Obverse Punch, Grasp and Release, Front Leg Side Kick, landing L Stance Knife Hand Guarding Block",,FWD,Walking Stance| Middle Obverse Punch| Grasp | Release| Front Leg Side Kick|  L Stance |Knife Hand Guarding Block,5,Moves 9-12 from Hwa Rang
2nd Keup,2nd_keup,6,"Walking Stance, X-Fist Pressing Block, X-Fist Rising Block",,BWD,Walking Stance| X-Fist Pressing Block| X-Fist Rising Block,5,
2nd Keup,2nd_keup,7,"Side Kick, Reverse Side Kick, landing in Walking Stance, Reverse Punch, pull back to L Stance, Forearm Guargin Block",,FWD,Side Kick| Reverse Side Kick|  Walking Stance| Reverse Punch|  L Stance| Forearm Guarding Block,5,
2nd Keup,2nd_keup,8,"L Stance, Twin Forearm Block, Upward Punch, slide into Fixed Stance, Side Punch, pull back into Vertical Stance, Downward Knife Hand Strike",,BWD,L Stance| Twin Forearm Block| Upward Punch|  Fixed Stance| Side Punch|  Vertical Stance| Downward Knife Hand Strike,5,Moves 3-6 from Hwa Rang
2nd Keup,2nd_keup,9,"Front Kick, Turning Kick (same leg), rear leg reverse turning kick (180 deg), landing in L stace knife hand guarding block",,FWD,Front Kick| Turning Kick |  reverse turning kick |  L stance| knife hand guarding block,5,
2nd Keup,2nd_keup,10,"L Stance obverse middle punch, slip front foot to walking stance, X-Fist pressing block",,BWD,L Stance |obverse middle punch|  walking stance| X-Fist pressing block,5,Moves 23-24 from Hwa Rang
2nd Keup,2nd_keup,11,Jumping front kick from back leg  x2 on each leg,,STATIC,Jumping Front Kick,2,
2nd Keup,2nd_keup,12,Jumping turning kick from back leg   x2 on each leg,,STATIC,Jumping Turnig Kick,2,
2nd Keup,2nd_keup,13,Jumping side kick from front leg   x2 on each leg,,STATIC,Jumping Side Kick,2,
2nd Keup,2nd_keup,14,Jumping reverse side kick   x2 on each leg,,STATIC,Jumping Reverse Side Kick,2,
