english,romainised,category
Reverse Knifehand Middle Block,Sonkal Dung Kaunde Makgi,Block
Palm Upward Block,Sonbadak Ollyo Makgi,Block
X Fist Rising Block,Kyocha Joomok Chookyo Makgi,Block
Twin Arc Hand U Shape Block,Sang Bandalson Digutja Makgi,Block
High Inner Forearm Block,Nopunde An Palmok Makgi,Block
Palm Hooking Block,Sonbadak Golcha Makgi,Block
Outer Forearm Waist Block,Bakat Palmok Bakuro Hori Makgi,Block
Palm Pressing Block,Sonbadak Noollo Makgi,Block
360° Spinning Knifehand Guarding Block,Twimyo Dollimyo Sonkal Daebi Makgi,Block
X Knifehand Middle Block,Kyocha Sonkal Kaunde Makgi,Block
Twin Palm Upward Block,Sang Sonbadak Ollyo Makgi,Block
U Shape Grasping Block,Digutja Japgi Makgi,Block
Double Arc Hand High Block,Doo Bandalson Nopunde Makgi,Block
9 Shape Block,Gutja Makgi,Block
Inner Forearm parallel Block,An Palmok Narani Makgi,Block
Reverse Knifehand Low Front Block,Sonkal Dung Najunde Ap Makgi,Block
Outer Forearm Downward Block,Bakat Palmok Naeryo Makgi,Block
Reverse Knifehand Low Guarding Block,Sonkal Dung Najunde Daebi Makgi,Block
Palm Scooping Block,Sonbadak Duro Makgi,Block
Inner Forearm High Side Front Block,An Palmok Nopunde Yop Ap Makgi,Block
Twin Palm Pressing Block,Sang Sonbadak Noollo Makgi,Block
 Outer Forearm Obverse High Front Block,Bakat Palmok Nopunde Bara Ap Makgi ,Block
Knifehand Middle Wedging Block,Sonkal Kaunde Hechyo Makgi,Block
Reverse Knifehand Circular Block,Sonkal Dung Dollimyo Makgi,Block
Twin Palm Downward Block,Sang Sonbadak Naeryo Makgi,Block
Reverse Knifehand Low Inward Block,Sonkal Dung Najunde Anuro Makgi,Block
Knifehand Low Outward Block,Sonkal Najunde Bakuro Makgi,Block
Knifehand low section inward Block,Sonkal Najunde Anuro Makgi,Block
X-fist downward block,Kyocha Joomok Naerjo Makgi,Block
Outer Forearm reverse High Side Block,Bakat Palmok Nopunde Bandae Yop Makgi,Block
Reverse Knifehand Rising Block,Sonkal Bandae Chookyo Makgi,Block
Twin Palm Rising Block,Sang Sonbadak Chookyo Makgi,Block
Courtesy,Ye Ui,Tenet
Integrity,Yom Chi,Tenet
Perseverance,In Nae,Tenet
Self-Control,Guk Gi,Tenet
Indomitable Spirit,Baekjul Boolgool,Tenet
